legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
af1763f3998cefe3d0dbbaf467daf028,2022-04-16,2022-04-21,LAX,BOS,K0AIZNN1,PT9H50M,0,False,False,False,489.30,549.60,3,2771,1650564060||1650586200,2022-04-21T11:01:00.000-07:00||2022-04-21T19:10:00.000-05:00,1650574500||1650599460,2022-04-21T15:55:00.000-05:00||2022-04-21T23:51:00.000-04:00,DFW||BOS,ONT||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Boeing 737-800,10440||13260,1215||1556,coach||coach
a421ee217a429395626c539ff1db7664,2022-04-16,2022-04-21,LAX,BOS,LH0OAJMN,PT10H4M,1,False,False,False,489.30,549.60,7,3445,1650590700||1650607800,2022-04-21T18:25:00.000-07:00||2022-04-21T23:10:00.000-07:00,1650600300||1650626940,2022-04-21T21:05:00.000-07:00||2022-04-22T07:29:00.000-04:00,SEA||BOS,ONT||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Boeing 737-800||Boeing 737-900,9600||19140,956||2489,coach||coach
f83c2ecb39cc618ef8835031ba9611f7,2022-04-16,2022-04-21,LAX,BOS,LH0OAJMN,PT10H32M,0,False,False,False,489.30,549.60,3,3445,1650561900||1650580500,2022-04-21T10:25:00.000-07:00||2022-04-21T15:35:00.000-07:00,1650571500||1650599820,2022-04-21T13:05:00.000-07:00||2022-04-21T23:57:00.000-04:00,SEA||BOS,ONT||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Airbus A320||Boeing 737-900,9600||19320,956||2489,coach||coach
fe4a10352078c11eadbc83e926b867b7,2022-04-16,2022-04-21,LAX,BOS,H0AJZNN1,PT5H30M,0,False,False,True,515.35,568.60,1,2606,1650561300,2022-04-21T10:15:00.000-07:00,1650581100,2022-04-21T18:45:00.000-04:00,BOS,LAX,American Airlines,AA,AIRBUS INDUSTRIE A321 SHARKLETS,19800,2606,coach
9822cdc2d3123d2015d75cda3d6c8b34,2022-04-16,2022-04-21,LAX,BOS,H0AJZNN1,PT5H30M,0,False,False,True,515.35,568.60,2,2606,1650578400,2022-04-21T15:00:00.000-07:00,1650598200,2022-04-21T23:30:00.000-04:00,BOS,LAX,American Airlines,AA,AIRBUS INDUSTRIE A321 SHARKLETS,19800,2606,coach
924e82fad0495663778d257eb1b40e5c,2022-04-16,2022-04-21,LAX,BOS,E0AJZNN1,PT5H30M,0,False,False,True,515.35,568.60,2,2606,1650578400,2022-04-21T15:00:00.000-07:00,1650598200,2022-04-21T23:30:00.000-04:00,BOS,LAX,JetBlue Airways,B6,AIRBUS INDUSTRIE A321 SHARKLETS,19800,2606,coach
af38474418f85aa11ca2aeba4d185820,2022-04-16,2022-04-21,LAX,BOS,H0AJZNN1,PT5H31M,1,False,False,True,515.35,568.60,2,2606,1650605400,2022-04-21T22:30:00.000-07:00,1650625260,2022-04-22T07:01:00.000-04:00,BOS,LAX,American Airlines,AA,AIRBUS INDUSTRIE A321 SHARKLETS,19860,2606,coach
d87c7e04bcda1c531cb238e29e56eb54,2022-04-16,2022-04-21,LAX,BOS,E0AJZNN1,PT5H31M,1,False,False,True,515.35,568.60,2,2606,1650605400,2022-04-21T22:30:00.000-07:00,1650625260,2022-04-22T07:01:00.000-04:00,BOS,LAX,JetBlue Airways,B6,AIRBUS INDUSTRIE A321 SHARKLETS,19860,2606,coach
26a9275ad613db3949a300878e72b840,2022-04-16,2022-04-21,LAX,BOS,E0AJZNN1,PT7H42M,0,False,False,False,515.35,577.60,6,2643,1650567600||1650590940,2022-04-21T12:00:00.000-07:00||2022-04-21T21:29:00.000-04:00,1650587400||1650595320,2022-04-21T20:30:00.000-04:00||2022-04-21T22:42:00.000-04:00,JFK||BOS,LAX||JFK,JetBlue Airways||JetBlue Airways,B6||B6,AIRBUS INDUSTRIE A321 SHARKLETS||AIRBUS INDUSTRIE A321 SHARKLETS,19800||4380,2458||185,coach||coach
90b9013241ce176a716e44b5dafa1da0,2022-04-16,2022-04-21,LAX,BOS,E0AJZNN1,PT7H56M,0,False,False,False,515.35,577.60,5,2643,1650567600||1650591300,2022-04-21T12:00:00.000-07:00||2022-04-21T21:35:00.000-04:00,1650587400||1650596160,2022-04-21T20:30:00.000-04:00||2022-04-21T22:56:00.000-04:00,JFK||BOS,LAX||JFK,JetBlue Airways||JetBlue Airways,B6||B6,AIRBUS INDUSTRIE A321 SHARKLETS||Embraer 190,19800||4860,2458||185,coach||coach
