itinerary_id,search_date,flight_date,origin,destination,direction,hub,inbound_carrier,outbound_carrier,carrier_pair,cabin_pair,hub_arrival_local,hub_departure_local,hub_arrival_epoch,hub_departure_epoch,layover_minutes,night_overlap_minutes,crosses_local_midnight,long_layover_6h,source_offer_count,source_csv_rows
b1cf4cd0f5ee5685,2022-04-16,2022-04-17,BOS,LAX,BOS-LAX,MSP,DL,DL,DL / DL,coach / coach,2022-04-17T14:44:00-05:00,2022-04-17T15:15:00-05:00,1650224640,1650226500,31.0,0.0,0,0,1,44
bad3d55ced64a932,2022-04-16,2022-04-17,BOS,LAX,BOS-LAX,EWR,DL,AS,DL / AS,coach / coach,2022-04-17T19:03:00-04:00,2022-04-17T20:29:00-04:00,1650236580,1650241740,86.0,0.0,0,0,1,45
9f1d36555ee1e265,2022-04-16,2022-04-17,BOS,LAX,BOS-LAX,DCA,DL,AS,DL / AS,coach / coach,2022-04-17T08:03:00-04:00,2022-04-17T09:15:00-04:00,1650196980,1650201300,72.0,0.0,0,0,1,46
3b21e61284af1e7d,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,MSP,SY,SY,SY / SY,coach / coach,2022-04-17T23:15:00-05:00,2022-04-18T06:50:00-05:00,1650255300,1650282600,455.0,405.0,1,1,1,52
3c100c2fad16aa32,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,CLT,AA,AA,AA / AA,coach / coach,2022-04-17T19:32:00-04:00,2022-04-17T20:25:00-04:00,1650238320,1650241500,53.0,0.0,0,0,1,83
ae3547a12f884e22,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,CLT,AA,AA,AA / AA,coach / coach,2022-04-17T13:52:00-04:00,2022-04-17T14:55:00-04:00,1650217920,1650221700,63.0,0.0,0,0,1,84
dfec8d4490d0fc77,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,PHX,AA,AA,AA / AA,coach / coach,2022-04-17T07:51:00-07:00,2022-04-17T08:34:00-07:00,1650207060,1650209640,43.0,0.0,0,0,1,85
f2adcd179a8c0fd2,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DTW,DL,DL,DL / DL,coach / coach,2022-04-18T06:30:00-04:00,2022-04-18T07:30:00-04:00,1650277800,1650281400,60.0,0.0,0,0,1,86
e8fc549fa4bc2377,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DEN,UA,UA,UA / UA,coach / coach,2022-04-17T22:16:00-06:00,2022-04-17T23:20:00-06:00,1650255360,1650259200,64.0,64.0,0,0,1,87
70e7626eafe745cd,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,SLC,DL,DL,DL / DL,coach / coach,2022-04-17T23:08:00-06:00,2022-04-17T23:59:00-06:00,1650258480,1650261540,51.0,51.0,0,0,1,88
1fb0c5bbe2e38b68,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,EWR,UA,UA,UA / UA,coach / coach,2022-04-17T16:23:00-04:00,2022-04-17T17:14:00-04:00,1650226980,1650230040,51.0,0.0,0,0,1,89
